"lg" "pos1" "pos2" "pi"
3 0 9999 0.00853115727002967
3 10000 19999 0.00649350649350649
3 20000 29999 0.00333582768677499
3 30000 39999 0.0027475470468744
3 40000 49999 0.00277892031653019
3 50000 59999 0.00301145221600966
3 60000 69999 0.0037161026141664
3 70000 79999 0.00313333268613441
3 80000 89999 0.00430923282729232
3 90000 99999 0.00384648965031402
3 100000 109999 0.00430265863003457
3 110000 119999 0.00575260615306382
3 120000 129999 0.00232880254882489
3 130000 139999 0.0029827823446378
3 140000 149999 0.00207466393052582
3 150000 159999 0.00194049083347976
3 160000 169999 0.00326433322274357
3 170000 179999 0.00235868293094919
3 180000 189999 0.00250524251544049
3 190000 199999 0.00334515578800579
3 200000 209999 0.00144969471282877
3 210000 219999 0.00323865318788568
3 220000 229999 0.00532982745830043
3 230000 239999 0.00313084763842061
3 240000 249999 0.00347902666377628
3 250000 259999 0.00402052868391451
3 260000 269999 0.00349726678550208
3 270000 279999 0.00456241116502475
3 280000 289999 0.00402079564056173
3 290000 299999 0.00603591203185268
3 300000 309999 0.00531786924323383
3 310000 319999 0.0047636020531401
3 320000 329999 0.00524700430726519
3 330000 339999 0.00504217212867403
3 340000 349999 0.00480470508779829
3 350000 359999 0.00294557390936044
3 360000 369999 0.00446467776380656
3 370000 379999 0.00344194847020934
3 380000 389999 0.00390348559574135
3 390000 399999 0.00636617491133779
3 400000 409999 0.00459990602847746
3 410000 419999 0.00886623352686388
3 420000 429999 0.00710542562463684
3 430000 439999 0.00413103110457997
3 440000 449999 0.00354397130036874
3 450000 459999 0.00479772909847368
3 460000 469999 0.00442467772337976
3 470000 479999 0.0055334408068783
3 480000 489999 0.00469225717167452
3 490000 499999 0.00327181558708321
3 500000 509999 0.00365678598061148
3 510000 519999 0.00530609732072498
3 520000 529999 0.00444219920855435
3 530000 539999 0.00571536888790058
3 540000 549999 0.00494306519546776
3 550000 559999 0.00481856597600872
3 560000 569999 0.00418999913981666
3 570000 579999 0.00567192458963272
3 580000 589999 0.00394253775814189
3 590000 599999 0.00383730489555834
3 600000 609999 0.00264146907307434
3 610000 619999 0.00591789893516951
3 620000 629999 0.00420343045581488
3 630000 639999 0.00422995091635989
3 640000 649999 0.00384171542464833
3 650000 659999 0.00711817712132263
3 660000 669999 0.00669566235213238
3 670000 679999 0.00644366406938785
3 680000 689999 0.00396543890915684
3 690000 699999 0.00599893200553028
3 700000 709999 0.00549284054203104
3 710000 719999 0.00487346865044175
3 720000 729999 0.00620690049805903
3 730000 739999 0.00429326152641687
3 740000 749999 0.00621722914692519
3 750000 759999 0.00580147904535979
3 760000 769999 0.00602045196537534
3 770000 779999 0.00522978353521759
3 780000 789999 0.00424254341527578
3 790000 799999 0.0033296851593574
3 800000 809999 0.00354533627520055
3 810000 819999 0.00316358024691358
3 820000 829999 0.00366187539806612
3 830000 839999 0.00337287776156082
3 840000 849999 0.00490889995652216
3 850000 859999 0.00606831726503106
3 860000 869999 0.00468965372331484
3 870000 879999 0.0045943086609187
3 880000 889999 0.00540093503500842
3 890000 899999 0.00382156938788702
3 900000 909999 0.00449445313405167
3 910000 919999 0.00433818915896009
3 920000 929999 0.00300211096869235
