"lg" "pos1" "pos2" "utr5"
16 "19695" "19816" TRUE
16 "40637" "40821" TRUE
16 "45771" "45792" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "97359" "97510" TRUE
16 "117795" "117868" TRUE
16 "139407" "139423" TRUE
16 "143990" "144032" TRUE
16 "177572" "177662" TRUE
16 "235035" "235062" TRUE
16 "235179" "235269" TRUE
16 "256280" "256530" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "308781" "308908" TRUE
16 "NA" "NA" TRUE
16 "318158" "318264" TRUE
16 "NA" "NA" TRUE
16 "403151" "403207" TRUE
16 "416921" "416970" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "448368" "448394" TRUE
16 "460130" "460251" TRUE
16 "476118" "476135" TRUE
16 "480165" "480249" TRUE
16 "NA" "NA" TRUE
16 "510575" "510768" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "1390445" "1390542" TRUE
16 "1397966" "1398176" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "1678208" "1678230" TRUE
16 "1679006" "1679091" TRUE
16 "NA" "NA" TRUE
16 "1705128" "1705141" TRUE
16 "1707019" "1707121" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "2173129" "2173508" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "280690" "280830" TRUE
21 "307494" "307552" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "2238010" "2238129" TRUE
21 "550266" "550753" TRUE
16 "NA" "NA" TRUE
21 "578856" "579035" TRUE
16 "NA" "NA" TRUE
16 "2287896" "2288381" TRUE
21 "NA" "NA" TRUE
16 "2300636" "2300638" TRUE
16 "2311042" "2311046" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "793879" "793940" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "2392786" "2392869" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "2400715" "2400729" TRUE
21 "NA" "NA" TRUE
16 "2403739" "2403774" TRUE
16 "NA" "NA" TRUE
16 "2419460" "2419515" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "1312339" "1312866" TRUE
21 "NA" "NA" TRUE
21 "1563702" "1563909" TRUE
21 "NA" "NA" TRUE
16 "2484778" "2485015" TRUE
21 "NA" "NA" TRUE
16 "2493020" "2493027" TRUE
16 "NA" "NA" TRUE
21 "1883155" "1883186" TRUE
16 "2494452" "2494757" TRUE
21 "1882993" "1883092" TRUE
16 "2497941" "2497944" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "1894677" "1894755" TRUE
10 "20706" "20746" TRUE
10 "24836" "24837" TRUE
10 "28778" "29028" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "1909388" "1909521" TRUE
21 "1912873" "1912974" TRUE
10 "37874" "38056" TRUE
21 "1913768" "1914094" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "1975033" "1975126" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "2874846" "2874904" TRUE
10 "NA" "NA" TRUE
16 "2991863" "2992261" TRUE
10 "NA" "NA" TRUE
10 "256225" "256244" TRUE
10 "NA" "NA" TRUE
10 "492757" "492778" TRUE
21 "1985688" "1985857" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "574901" "574937" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "779138" "779183" TRUE
10 "NA" "NA" TRUE
21 "2060331" "2060414" TRUE
10 "NA" "NA" TRUE
16 "3068290" "3068453" TRUE
10 "NA" "NA" TRUE
10 "936448" "936469" TRUE
16 "NA" "NA" TRUE
21 "2063297" "2063443" TRUE
16 "NA" "NA" TRUE
21 "2069582" "2069798" TRUE
21 "NA" "NA" TRUE
10 "945775" "946132" TRUE
21 "2077391" "2077512" TRUE
21 "2084904" "2084918" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "1102640" "1102657" TRUE
21 "NA" "NA" TRUE
16 "3207621" "3207672" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "1224615" "1224649" TRUE
16 "3212609" "3212660" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "3407397" "3407495" TRUE
16 "3412598" "3412662" TRUE
10 "1457272" "1457347" TRUE
16 "3418988" "3419330" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
19 "NA" "NA" TRUE
19 "88390" "88477" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
19 "319559" "319812" TRUE
10 "NA" "NA" TRUE
16 "3474808" "3475445" TRUE
19 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "2362051" "2362201" TRUE
10 "1513071" "1513103" TRUE
16 "NA" "NA" TRUE
19 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "2494769" "2494917" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
19 "NA" "NA" TRUE
19 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "2673132" "2673156" TRUE
19 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "2679483" "2679563" TRUE
