"lg" "pos1" "pos2" "phastcons"
1 1 74999 0.253449465307138
1 75000 149999 0.177779971918203
1 150000 224999 0.261211488367915
1 225000 299999 0.171855171760546
1 3e+05 374999 0.150012437128487
1 375000 449999 0.250474622721454
1 450000 524999 0.260252492442876
1 525000 599999 0.281234584013051
1 6e+05 674999 0.231078289343124
1 675000 749999 0.269053887789927
1 750000 824999 0.325245645599663
1 825000 899999 0.195387377584331
1 9e+05 974999 0.311508370405057
1 975000 1049999 0.252768505485175
1 1050000 1124999 0.311414340192834
1 1125000 1199999 0.261088599555414
1 1200000 1274999 0.273905905163811
1 1275000 1349999 0.279087288774082
1 1350000 1424999 0.254738038385295
1 1425000 1499999 0.262577372199637
1 1500000 1574999 0.235983515176235
1 1575000 1649999 0.237284697508897
1 1650000 1724999 0.200534096162737
1 1725000 1799999 0.316862733109141
1 1800000 1874999 0.281389607155457
1 1875000 1949999 0.280337725014254
1 1950000 2024999 0.289335748553829
1 2025000 2099999 0.273016240262228
1 2100000 2174999 0.258329437878242
1 2175000 2249999 0.26289733436902
1 2250000 2324999 0.265386849255516
1 2325000 2399999 0.225169402130539
1 2400000 2474999 0.200460982602207
1 2475000 2549999 0.222202220623008
1 2550000 2624999 0.222365450466407
1 2625000 2699999 0.23736537140895
1 2700000 2774999 0.240423921144368
1 2775000 2849999 0.254356230466096
1 2850000 2924999 0.217849062230764
1 2925000 2999999 0.232461276295687
1 3e+06 3074999 0.228070772201438
1 3075000 3149999 0.251717210885962
1 3150000 3224999 0.239089108080921
1 3225000 3299999 0.216263609006395
1 3300000 3374999 0.264352864774788
1 3375000 3449999 0.284644926004228
1 3450000 3524999 0.287522878234987
1 3525000 3599999 0.243343651374757
1 3600000 3674999 0.241225434277752
1 3675000 3749999 0.24128214773732
1 3750000 3824999 0.243582470941132
1 3825000 3899999 0.229279542995015
1 3900000 3974999 0.236339533203919
1 3975000 4049999 0.224010746655158
1 4050000 4124999 0.301573047610508
1 4125000 4199999 0.333813275345786
1 4200000 4274999 0.222829437518551
1 4275000 4349999 0.274270030613322
1 4350000 4424999 0.301832990720639
1 4425000 4499999 0.26654189441521
1 4500000 4574999 0.255735305319284
1 4575000 4649999 0.241392192371172
1 4650000 4724999 0.245041105152716
1 4725000 4799999 0.246607813715683
1 4800000 4874999 0.214421125747315
1 4875000 4949999 0.205539047122844
1 4950000 5024999 0.196534256781928
1 5025000 5099999 0.193602280256814
1 5100000 5174999 0.208296476952753
1 5175000 5249999 0.201684055471725
1 5250000 5324999 0.202984583665245
1 5325000 5399999 0.274449909240211
1 5400000 5474999 0.312165458513582
1 5475000 5549999 0.285307349437187
1 5550000 5624999 0.234503579283281
1 5625000 5699999 0.204232054969639
1 5700000 5774999 0.306865624122109
1 5775000 5849999 0.270142043657071
1 5850000 5924999 0.289370870161176
1 5925000 5999999 0.270969769007447
1 6e+06 6074999 0.228655529288153
1 6075000 6149999 0.202041521624105
1 6150000 6224999 0.271812557924004
1 6225000 6299999 0.218355741533671
1 6300000 6374999 0.255552163054862
1 6375000 6449999 0.231971528258669
1 6450000 6524999 0.265576606542109
1 6525000 6599999 0.225378818886128
1 6600000 6674999 0.190602524082838
1 6675000 6749999 0.213826372726489
1 6750000 6824999 0.248883014274649
1 6825000 6899999 0.270581722887376
1 6900000 6974999 0.226121792563248
1 6975000 7049999 0.211057569544756
1 7050000 7124999 0.224929849991573
1 7125000 7199999 0.201637411537637
1 7200000 7274999 0.189490490917493
1 7275000 7349999 0.173893292457709
