"lg" "pos1" "pos2" "ld_r2_pac"
"1" "chr1" 0 9999 0.299590216319283
"2" "chr1" 10000 19999 0.264936793658973
"3" "chr1" 20000 29999 0.351196256742
"4" "chr1" 30000 39999 0.393394380478932
"5" "chr1" 40000 49999 0.2995644188761
"6" "chr1" 50000 59999 0.314493065935195
"7" "chr1" 60000 69999 0.276867728437911
"8" "chr1" 70000 79999 0.28615047652305
"9" "chr1" 80000 89999 0.379026756962488
"10" "chr1" 90000 99999 0.359533094469672
"11" "chr1" 1e+05 109999 0.389284814380992
"12" "chr1" 110000 119999 0.241084126703766
"13" "chr1" 120000 129999 0.246445736937911
"14" "chr1" 130000 139999 0.241305639426348
"15" "chr1" 140000 149999 0.266461572469854
"16" "chr1" 150000 159999 0.376611415324133
"17" "chr1" 160000 169999 0.294583919190621
"18" "chr1" 170000 179999 0.286145028768148
"19" "chr1" 180000 189999 0.298590737133087
"20" "chr1" 190000 199999 0.239869551509924
"21" "chr1" 2e+05 209999 0.257682322157358
"22" "chr1" 210000 219999 0.278088873661781
"23" "chr1" 220000 229999 0.272005948754218
"24" "chr1" 230000 239999 0.324550957478529
"25" "chr1" 240000 249999 0.374329488333974
"26" "chr1" 250000 259999 0.302731090755433
"27" "chr1" 260000 269999 0.465517312504383
"28" "chr1" 270000 279999 0.323604789479593
"29" "chr1" 280000 289999 0.258437277797619
"30" "chr1" 290000 299999 0.476411966853923
"31" "chr1" 3e+05 309999 1
"32" "chr1" 310000 319999 0.432420789005279
"33" "chr1" 320000 329999 0.286857154639076
"34" "chr1" 330000 339999 0.240752912446914
"35" "chr1" 340000 349999 0.385708799072497
"36" "chr1" 350000 359999 0.378752470676328
"37" "chr1" 360000 369999 0.331438657231563
"38" "chr1" 370000 379999 0.323242642947016
"39" "chr1" 380000 389999 0.351514984461219
"40" "chr1" 390000 399999 0.423019569400767
"41" "chr1" 4e+05 409999 0.248442818782435
"42" "chr1" 410000 419999 0.410560351992802
"43" "chr1" 420000 429999 0.355875811086544
"44" "chr1" 430000 439999 0.373994356104217
