"gene.id" "ds"
"1" "ENSGACP00000000006" 1.99207033333333
"2" "ENSGACP00000000007" NA
"3" "ENSGACP00000000010" 1.22331433333333
"4" "ENSGACP00000000011" 1.17705066666667
"5" "ENSGACP00000000012" 1.24716333333333
"6" "ENSGACP00000000013" 1.04441833333333
"7" "ENSGACP00000000014" NA
"8" "ENSGACP00000000015" NA
"9" "ENSGACP00000000016" 1.32026333333333
"10" "ENSGACP00000000017" 0.884911
"11" "ENSGACP00000000018" 0.961005666666667
"12" "ENSGACP00000000019" 1.28694133333333
"13" "ENSGACP00000000020" 1.351363
"14" "ENSGACP00000000021" 1.280063
"15" "ENSGACP00000000022" 3.54220366666667
"16" "ENSGACP00000000023" 1.213296
"17" "ENSGACP00000000025" 1.32051
"18" "ENSGACP00000000026" 1.278932
"19" "ENSGACP00000000030" 1.456272
"20" "ENSGACP00000000031" 1.602289
"21" "ENSGACP00000000032" 1.21365966666667
"22" "ENSGACP00000000033" 1.19939833333333
"23" "ENSGACP00000000034" 0.9792725
"24" "ENSGACP00000000037" 2.75644166666667
"25" "ENSGACP00000000038" 3.197173
"26" "ENSGACP00000000039" 1.3245
"27" "ENSGACP00000000040" 1.15109033333333
"28" "ENSGACP00000000041" 1.32737666666667
"29" "ENSGACP00000000043" 1.5489765
"30" "ENSGACP00000000044" 1.326276
"31" "ENSGACP00000000045" 1.13156
"32" "ENSGACP00000000046" 3.9393805
"33" "ENSGACP00000000047" 1.59023633333333
"34" "ENSGACP00000000048" 1.15156233333333
"35" "ENSGACP00000000049" 1.6830235
"36" "ENSGACP00000000050" 1.11096033333333
"37" "ENSGACP00000000051" 1.17563566666667
"38" "ENSGACP00000000054" 0.875984
"39" "ENSGACP00000000058" NA
"40" "ENSGACP00000000062" 1.52661666666667
"41" "ENSGACP00000000064" 0.93075
"42" "ENSGACP00000000065" 0.872399
"43" "ENSGACP00000000075" 1.14350666666667
"44" "ENSGACP00000000077" 1.009325
"45" "ENSGACP00000000078" NA
"46" "ENSGACP00000000079" NA
"47" "ENSGACP00000000080" 3.64689833333333
"48" "ENSGACP00000000081" 0.7438835
"49" "ENSGACP00000000082" 0.901991333333333
"50" "ENSGACP00000000083" 0.93635
"51" "ENSGACP00000000084" 0.891546333333333
"52" "ENSGACP00000000085" 1.1080455
"53" "ENSGACP00000000086" NA
"54" "ENSGACP00000000087" 0.876309666666667
"55" "ENSGACP00000000088" 0.909225
"56" "ENSGACP00000000089" 0.808670666666667
"57" "ENSGACP00000000091" 1.08173433333333
"58" "ENSGACP00000000093" NA
"59" "ENSGACP00000000094" 1.22613833333333
"60" "ENSGACP00000000096" 0.825962333333333
"61" "ENSGACP00000000097" 0.918537666666667
"62" "ENSGACP00000000098" 0.920176333333333
"63" "ENSGACP00000000099" 0.961519
"64" "ENSGACP00000000100" 1.6512325
"65" "ENSGACP00000000102" 1.465931
"66" "ENSGACP00000000103" 0.694723666666667
