lg pos gen.pos
1 138036 NA
1 187111 NA
1 187329 NA
1 187356 NA
1 187396 NA
1 187397 NA
1 204157 NA
1 221597 NA
1 382634 3.80441878658717e-08
1 383028 3.8150476139092e-08
1 389580 3.99179907739621e-08
1 404295 4.38876149882651e-08
1 454942 5.75505139064987e-08
1 554045 8.42852518276727e-08
1 695670 1.80553435298892e-07
1 696007 1.80879042309588e-07
1 734659 0.0557517003907207
1 770180 0.160743167116348
1 770203 0.160811149541806
1 770211 0.160834795602835
1 770219 0.160858441663864
1 796328 0.238030317589075
1 849542 0.395318004037586
1 930664 0.635094974385165
1 935060 0.648088484920506
1 952823 0.700591607677392
1 971188 0.711856054517531
1 1011743 0.842635553393187
1 1012929 0.848094478241824
1 1033909 0.94466129386105
1 1037488 0.961134727278648
1 1037554 0.961438512303952
1 1046480 1.00252313557455
1 1076958 1.14280737801701
1 1076980 1.14290863969211
1 1081582 1.16409074100192
1 1176679 1.60180353723364
1 1177088 1.60368608382984
1 1238746 1.67827358243328
1 1238784 1.67847483203932
1 1330913 2.1768841379649
1 1354127 2.64524512508143
1 1356785 2.69887239757888
1 1356856 2.70030487927464
1 1356864 2.70046628566289
1 1356866 2.70050663725995
1 1356891 2.70101103222325
1 1356892 2.70103120802178
1 1356989 2.70298826047936
1 1356999 2.70319001846468
1 1357001 2.70323037006174
1 1357004 2.70329089745734
1 1357006 2.7033312490544
1 1357011 2.70343212804706
1 1357021 2.70363388603238
1 1371440 2.99454872506199
1 1371490 2.99555751498858
1 1371713 3.00005671806116
1 1375025 3.06687896279839
1 1375043 3.06724212717196
1 1392226 3.4085706043851
1 1392228 3.4085765362461
1 1392274 3.40871296904904
1 1392275 3.40871593497954
1 1404453 3.44483503659291
1 1404527 3.44505451544982
1 1454855 3.59432386558923
1 1498045 4.29165305388435
1 1498136 4.29344446888225
1 1619779 6.68809385997506
1 1620134 6.69508234705477
1 1620163 6.69565323754861
1 1657637 7.4333618708593
1 1664000 7.55862311955855
1 1672684 7.72957529364378
1 1739794 9.05069463989665
1 1740072 9.05616731428584
1 1760701 9.46226731419421
1 1778484 9.81234130219026
1 1778492 9.81249878922304
1 1795505 10.1474146503138
1 1860954 11.4358357513852
1 1860955 11.4358554372643
1 1860985 11.4364460136373
1 1860986 11.4364656995164
1 1861014 11.4370169041311
1 1861023 11.437194077043
1 1861146 11.439615440172
1 1965018 13.3840472502867
1 1986110 13.5697349696801
1 2003330 13.7213347481722
1 2003504 13.7228665926239
1 2003999 13.7272244259777
1 2004025 13.7274533222751
1 2004032 13.7275149482013
1 2004048 13.7276558074612
1 2026121 13.9219799602287
1 2052135 14.1509995094559
1 2052148 14.1511139576046
1 2052573 14.1548555316963
1 2052921 14.1579192205996
1 2052964 14.1582977798607
1 2053003 14.1586411243067
1 2054002 14.1674360243482
1 2054003 14.1674448280519
1 2077236 14.3719812771638
1 2077311 14.3726415549447
1 2077320 14.3727207882784
1 2077369 14.3731521697619
1 2077489 14.3742086142113
1 2083473 14.4268899774225
1 2083475 14.42690758483
1 2083646 14.4284130181704
1 2083650 14.4284482329854
1 2083652 14.4284658403929
1 2133023 15.390924939964
1 2165064 16.0856335787266
1 2165085 16.0860888978931
1 2165282 16.0903602253122
1 2165300 16.0907504988835
1 2170097 16.1917775245248
1 2192428 16.4639614444719
1 2192511 16.4649730993623
1 2192563 16.4656069072454
1 2194638 16.4908982795032
1 2221642 16.8200395886364
1 2221664 16.8203077381254
1 2221750 16.8213559588551
1 2233144 16.9602330169303
1 2242329 17.0721854285874
1 2242346 17.0723926350107
1 2242471 17.0739162116528
1 2242605 17.075549485813
1 2242619 17.0757201263969
1 2264567 17.3432358075129
1 2266578 17.36774710853
1 2266870 17.3713061835658
1 2315293 17.9615153974658
1 2315343 17.9621248281226
1 2315366 17.9624051662248
1 2315374 17.9625026751298
1 2388137 18.8090841173265
1 2388143 18.8091737295766
1 2388431 18.8134751175834
1 2388439 18.8135946005836
1 2411619 19.1597965936291
1 2422593 19.3236973991373
1 2422598 19.3237720760124
1 2436541 19.5320160099656
1 2436589 19.5327329079667
1 2449759 19.7294317970266
1 2450964 19.74742892393
1 2450966 19.74745879468
1 2463195 19.9301034958428
1 2463470 19.9342107239743
1 2497471 20.4420284101494
1 2497552 20.4432381755263
1 2502560 20.5180345336441
1 2502801 20.5216339590248
1 2544245 21.1407470522541
1 2544599 21.1576640267393
1 2558621 21.6002008516282
1 2558647 21.6005919623121
1 2558866 21.6038863176879
1 2570444 21.7780509137667
1 2576395 21.8509028076763
1 2576729 21.8509028099903
1 2576742 21.8509028100804
1 2604589 22.1702152890368
1 2604842 22.175648839913
1 2610738 22.3022741994611
1 2614090 22.3742633794484
1 2630587 22.7285609636521
1 2630605 22.7289475403943
1 2639767 22.9257151021615
1 2640117 22.9332318721483
1 2665831 23.4251921660605
1 2695723 23.798762320764
1 2695821 23.7999870589936
1 2695880 23.8007244013972
1 2710959 23.9891716234892
1 2713454 24.02035245903
1 2713466 24.0205024269765
1 2713787 24.0245140695451
1 2713822 24.0249514760557
1 2731851 24.2502658183262
1 2736467 24.3079534884089
1 2736468 24.3079659857377
1 2736708 24.3109653446675
1 2736715 24.3110528259696
1 2743472 24.3954972771717
1 2743512 24.3959971703266
1 2743513 24.3960096676555
1 2743784 24.3993964437804
1 2743836 24.4000463048818
1 2763454 24.6452189027332
1 2763709 24.6484057215961
1 2763712 24.6484432135827
1 2780034 24.8524246154652
1 2780187 24.8543367067829
1 2856908 25.81314427533
1 2959732 26.1587829492079
1 2959734 26.1587829492092
1 3018780 26.1587829878635
1 3018985 26.1587829879977
1 3076476 26.3773252993181
1 3076485 26.377375529946
1 3114972 26.5140140272954
1 3114975 26.5140140273013
1 3115057 26.5140140274611
1 3115345 26.5140140280224
1 3165413 26.6071200270734
1 3189531 26.7780516514288
1 3189532 26.7780587387339
1 3189533 26.778065826039
1 3189610 26.7786115485315
1 3189616 26.7786540723621
1 3226414 27.039452725361
1 3264980 27.3127817337733
1 3264983 27.3128029956886
1 3265779 27.3184444905467
1 3265834 27.3188342923271
1 3265838 27.3188626415475
1 3265839 27.3188697288526
1 3268091 27.3348303399335
1 3292532 27.5080511638355
1 3292880 27.5105175460096
1 3359342 27.9815540174378
1 3359405 27.982000517659
1 3359428 27.9821635256763
1 3411457 28.350908922624
1 3411488 28.351128629082
1 3411494 28.3511711529126
1 3422038 28.4258996978667
1 3422042 28.4259280470871
1 3431175 28.4906564045478
1 3431186 28.4907343649039
1 3431376 28.4920809528725
1 3465629 28.7348424143968
1 3465653 28.7350125097192
1 3465661 28.73506920816
1 3475917 28.8077566092458
1 3492341 28.9241585081766
1 3492367 28.9243427781091
1 3546923 29.3109977950397
1 3547056 29.3119404066177
1 3572201 29.4901506933088
1 3679985 30.2540487859996
1 3717350 30.5188659409892
1 3717385 30.5191139966676
1 3723535 30.5627009230207
1 3762496 30.8388294169468
1 3762527 30.8390491234049
1 3762541 30.8391483456762
1 3762551 30.8392192187272
1 3762553 30.8392333933374
1 3762557 30.8392617425578
1 3762560 30.8392830044731
1 3765792 30.8621891745501
1 3799134 31.0984941011301
1 3799173 31.0987705060289
1 3799414 31.1004785465575
1 3804646 31.1375593268306
1 3805040 31.1403517250393
1 3835322 31.3549694980192
1 3864211 31.5597146549974
1 3864230 31.5598493137943
1 3864240 31.5599201868453
1 3885748 31.7123539448946
1 3886165 31.7153093511205
1 3886305 31.7163015738343
1 3886466 31.7174426299551
1 3886484 31.7175702014468
1 3886538 31.7179529159221
1 3888903 31.7347143924791
1 3888904 31.7347214797842
1 3888907 31.7347427416995
1 3895871 31.7840987344025
1 3899451 31.8094712866536
1 3899452 31.8094783739587
1 3899494 31.8097760407728
1 3900897 31.8197195298254
1 3901037 31.8207117525391
1 3908911 31.8765171928813
1 3908912 31.8765242801864
1 3908926 31.8766235024578
1 3925065 31.9910055194356
1 3925371 31.9931742347956
1 3935876 32.0676263748509
1 3935933 32.0680303512415
1 3935937 32.0680587004619
1 3959800 32.2371830620172
1 3959903 32.2379130544423
1 3991740 32.4635515868497
1 4011765 32.6054748714387
1 4011989 32.6070624277806
1 4098772 33.2221200261068
1 4110175 33.3029365661401
1 4110190 33.3030428757166
1 4110224 33.3032838440899
1 4110252 33.3034822886327
1 4115455 33.340357537058
1 4115734 33.3423348951803
1 4125449 33.4111880642081
1 4125741 33.4132575572968
1 4126933 33.4217056249737
1 4126947 33.421804847245
1 4131309 33.4527196720828
1 4176651 33.7740722598397
1 4176983 33.7764252451323
1 4205333 33.9773503446627
1 4211254 34.0193142781484
1 4240010 34.2231168235486
1 4240084 34.2236412841258
1 4240341 34.2254627215361
1 4243877 34.2505234323628
1 4299105 34.6419411183193
1 4304253 34.6784265649642
1 4304584 34.6807724629516
1 4304646 34.6812118758677
1 4307011 34.6979733524247
1 4314226 34.7491082587073
1 4314233 34.7491578698429
1 4314568 34.7515321170508
1 4314571 34.7515533789661
1 4314589 34.7516809504579
1 4314610 34.7518297838649
1 4314615 34.7518652203904
1 4314619 34.7518935696108
1 4314696 34.7524392921034
1 4314829 34.7533819036814
1 4314917 34.75400558653
1 4315232 34.7562380876359
1 4315440 34.7577122470963
1 4335015 35.2118495529973
1 4439732 35.5570084746458
1 4443919 35.5707538153485
1 4443921 35.5707603810713
1 4444208 35.5717025622945
1 4496104 35.7420699377677
1 4496476 35.7432911622103
1 4539832 35.8856229012849
1 4539974 35.8860890676044
1 4540022 35.8862466449519
1 4594476 36.065011579899
1 4594482 36.0650312770674
1 4623289 36.1596006655608
1 4720318 36.4781334248252
1 4731593 36.5151476871664
1 4731643 36.5153118302367
1 4737218 36.5336137825695
1 4743578 36.5544927811052
1 4778103 36.6678335711123
1 4785888 36.6933906471501
1 4821367 36.8098632869376
1 4903495 37.0794781284063
1 4926794 37.1559655162811
